,drug_row,drug_col,DepMap_ID,synergy_loewe
0,5-Fluorouracil,MK-1775,ACH-000001,-9.01376229175426
1,5-Fluorouracil,915019-65-7,ACH-000001,-7.86969111712712
2,5-Fluorouracil,Dasatinib,ACH-000001,7.75741024699119
3,5-Fluorouracil,Dinaciclib,ACH-000001,-9.581096477986595
4,5-Fluorouracil,Erlotinib,ACH-000001,9.63771487731508
5,5-Fluorouracil,L-778123 free base,ACH-000001,-5.817682387062909
6,5-Fluorouracil,Niraparib,ACH-000001,-8.64122455124189
7,5-Fluorouracil,391210-10-9,ACH-000001,7.79517299985511
8,5-Fluorouracil,Sorafenib,ACH-000001,-11.4901491795629
9,5-Fluorouracil,temozolomide,ACH-000001,-12.181800999061501
10,Veliparib,915019-65-7,ACH-000001,-32.2073485680706
11,Veliparib,Dinaciclib,ACH-000001,-19.5621843924556
12,Veliparib,891494-63-6,ACH-000001,-14.9718737854663
13,Veliparib,Eloxatin (TN),ACH-000001,-4.03143455768355
14,Veliparib,7-Ethyl-10-hydroxycamptothecin,ACH-000001,7.48900054187124
15,Veliparib,topotecan,ACH-000001,-45.1354283316471
16,MK-1775,Veliparib,ACH-000001,-42.2410982775668
17,MK-1775,915019-65-7,ACH-000001,4.84838077028387
18,MK-1775,Bortezomib,ACH-000001,-6.202798890109395
19,MK-1775,Dasatinib,ACH-000001,6.36325427073484
20,MK-1775,Dinaciclib,ACH-000001,-2.91338909001967
21,MK-1775,geldanamycin,ACH-000001,-19.3485793908566
22,MK-1775,Lapatinib,ACH-000001,-11.0971435494132
23,MK-1775,MK-2206,ACH-000001,2.18399017390451
24,MK-1775,Niraparib,ACH-000001,-31.5067330187997
25,MK-1775,MK-5108,ACH-000001,-15.9982481110796
26,MK-1775,Deforolimus,ACH-000001,6.709997671054859
27,MK-1775,891494-63-6,ACH-000001,17.033789286723
28,MK-1775,Eloxatin (TN),ACH-000001,-30.0274725561502
29,MK-1775,7-Ethyl-10-hydroxycamptothecin,ACH-000001,26.7528032398558
30,MK-1775,Sorafenib,ACH-000001,-18.6305531678053
31,MK-1775,topotecan,ACH-000001,17.738044341867898
32,915019-65-7,Dinaciclib,ACH-000001,3.20803606430774
33,915019-65-7,Eloxatin (TN),ACH-000001,-39.972264796465595
34,915019-65-7,7-Ethyl-10-hydroxycamptothecin,ACH-000001,4.01797407987334
35,915019-65-7,Sorafenib,ACH-000001,-8.52575311941711
36,Bortezomib,Veliparib,ACH-000001,-21.420278078208902
37,Bortezomib,Dasatinib,ACH-000001,-4.05572606284329
38,Bortezomib,Dinaciclib,ACH-000001,-6.87137027556717
39,Bortezomib,geldanamycin,ACH-000001,-8.476906194339705
40,Bortezomib,Eloxatin (TN),ACH-000001,-25.2784882857811
41,Bortezomib,7-Ethyl-10-hydroxycamptothecin,ACH-000001,-8.823091523999889
42,Bortezomib,Sorafenib,ACH-000001,-9.08575577077983
43,Bortezomib,topotecan,ACH-000001,-1.65805058430176
44,Carboplatinum,915019-65-7,ACH-000001,-14.0273157683434
45,Carboplatinum,Bortezomib,ACH-000001,-3.891089694078385
46,Carboplatinum,Dasatinib,ACH-000001,6.028003366246445
47,Carboplatinum,Dinaciclib,ACH-000001,-5.377905060069541
48,Carboplatinum,L-778123 free base,ACH-000001,-12.0624416515184
49,Carboplatinum,MK-2206,ACH-000001,-7.2681667131386
50,Carboplatinum,891494-63-6,ACH-000001,13.0365994917337
51,Carboplatinum,Sorafenib,ACH-000001,-19.2109486554008
52,Carboplatinum,temozolomide,ACH-000001,-18.2416792985406
53,cyclophosphamide,Veliparib,ACH-000001,-7.6531278906882205
54,cyclophosphamide,MK-1775,ACH-000001,-54.229684271581405
55,cyclophosphamide,915019-65-7,ACH-000001,-50.932830106670096
56,cyclophosphamide,Bortezomib,ACH-000001,-52.9105124455236
57,cyclophosphamide,Dinaciclib,ACH-000001,-61.0294314491548
58,cyclophosphamide,Erlotinib,ACH-000001,-19.702586621936298
59,cyclophosphamide,geldanamycin,ACH-000001,-32.4026617944458
60,cyclophosphamide,Lapatinib,ACH-000001,-7.118424151907065
61,cyclophosphamide,MK-2206,ACH-000001,-20.9307368424185
62,cyclophosphamide,MK-5108,ACH-000001,-11.0863252225039
63,cyclophosphamide,Deforolimus,ACH-000001,-10.175704706354889
64,cyclophosphamide,891494-63-6,ACH-000001,-27.4277562043344
65,cyclophosphamide,391210-10-9,ACH-000001,-4.74253629965546
66,cyclophosphamide,Vorinostat,ACH-000001,-33.57321309958325
67,Dasatinib,915019-65-7,ACH-000001,8.291925738529429
