,drug_row,drug_col,DepMap_ID,synergy_loewe,drug_pair,label
0,36,28,31,-26.3458101006974,256,0
1,16,3,28,-12.0623384294088,514,0
2,7,3,7,8.62171242420984,313,1
3,15,10,29,-15.5713694429405,429,0
4,36,37,27,-14.0570706783115,420,0
5,17,26,33,-11.037739011242351,361,0
6,7,26,18,17.016562934966398,435,1
7,24,10,32,13.5050365474224,201,1
8,28,26,28,-6.137457760363191,130,0
9,7,8,27,-31.3867385090932,302,0
10,34,25,16,19.8280099211746,147,1
11,35,27,22,-24.4738917077879,405,0
12,31,3,3,-7.901202204343985,505,0
13,6,24,17,-6.36309618738668,341,0
14,36,23,24,10.8685694430714,254,1
15,6,26,11,-7.33699688562702,342,0
16,6,10,22,-5.749897931721639,507,0
17,18,25,33,-54.69359530782485,366,0
18,7,29,19,-5.98726681901876,311,0
19,35,29,19,-8.182991674562695,225,0
20,28,5,25,-15.3743879120172,125,0
21,19,10,13,6.36325427073484,19,1
22,9,27,4,-13.837307286126,394,0
23,3,20,7,-5.756357458121455,284,0
24,17,23,32,-27.7407980283326,58,0
25,2,10,9,6.07725853713785,187,1
26,26,20,19,-8.509829804609915,235,0
27,9,11,4,-21.6856825067779,180,0
28,18,6,21,-39.049288274896895,84,0
29,34,7,18,-16.3521686612577,386,0
30,2,23,32,-11.8750415769481,524,0
31,36,30,16,9.463580677987704,261,1
32,35,2,2,-38.1997591552168,221,0
33,24,5,8,-15.1416580260407,198,0
34,25,29,5,-10.95201987515959,489,0
35,19,30,28,15.5331563544499,26,1
36,19,5,1,-11.9431847728869,16,0
37,9,3,21,-8.933612635859486,547,0
38,34,26,26,9.30602911071408,382,1
39,23,8,22,-7.44326624654234,100,0
40,36,33,8,-22.0273575105436,575,0
41,32,6,14,7.38049138114954,371,1
42,7,24,18,-42.1590350679895,309,0
43,37,20,7,-11.9745947751291,267,0
44,35,1,20,-17.3586691253294,217,0
45,32,14,21,-6.186069671436336,96,0
46,35,20,23,-43.6494650424693,214,0
47,22,12,0,-21.2690461794813,161,0
48,31,3,25,-13.1365880534618,505,0
49,36,6,2,-12.7245516117783,581,0
50,2,26,16,8.715557102991454,191,1
51,18,8,26,8.0140715331463,73,1
52,18,12,18,-9.264757840707414,74,0
53,35,20,3,-9.187406893369175,214,0
54,17,24,21,-12.0727527082934,61,0
55,7,10,17,-9.19431082213719,304,0
56,23,4,26,13.3376152091158,372,1
57,0,5,10,-10.20058673207701,509,0
58,19,11,25,-11.509453489361515,22,0
59,34,3,18,9.72030474911541,150,1
60,20,29,6,-10.4166478348543,85,0
61,12,10,0,6.98021617332158,37,1
62,3,37,16,-5.57520045990914,425,0
63,24,30,25,22.7168460189252,204,1
64,12,10,17,-51.326189133654296,37,0
65,9,12,17,-5.892454760055765,176,0
66,23,3,6,11.25731617014261,105,1
67,7,30,9,-21.2315510222246,436,0
68,15,3,7,15.127042061702,433,1
69,35,26,33,12.9925539158413,223,1
