,drug_row,drug_col,DepMap_ID,synergy_loewe,drug_pair,label
0,0,19,13,-9.01376229175426,0,0
1,0,8,13,-7.86969111712712,1,0
2,0,10,13,7.75741024699119,2,1
3,0,20,13,-9.581096477986597,3,0
4,0,23,13,9.63771487731508,4,1
5,0,34,13,-5.817682387062909,5,0
6,0,26,13,-8.64122455124189,6,0
7,0,3,13,7.79517299985511,7,1
8,0,14,13,-11.4901491795629,8,0
9,0,7,13,-12.1818009990615,9,0
10,5,8,13,-32.2073485680706,10,0
11,5,20,13,-19.5621843924556,11,0
12,5,29,13,-14.9718737854663,12,0
13,5,4,13,7.48900054187124,14,1
14,5,21,13,-45.1354283316471,15,0
15,19,5,13,-42.2410982775668,16,0
16,19,12,13,-6.202798890109395,18,0
17,19,10,13,6.36325427073484,19,1
18,19,27,13,-19.3485793908566,21,0
19,19,11,13,-11.0971435494132,22,0
20,19,26,13,-31.5067330187997,24,0
21,19,25,13,-15.9982481110796,25,0
22,19,30,13,6.709997671054859,26,1
23,19,29,13,17.033789286723,27,1
24,19,37,13,-30.0274725561502,28,0
25,19,4,13,26.7528032398558,29,1
26,19,14,13,-18.6305531678053,30,0
27,19,21,13,17.738044341867898,31,1
28,8,37,13,-39.9722647964656,33,0
29,8,14,13,-8.52575311941711,35,0
30,12,5,13,-21.420278078208906,36,0
31,12,20,13,-6.87137027556717,38,0
32,12,27,13,-8.476906194339705,39,0
33,12,37,13,-25.2784882857811,40,0
34,12,4,13,-8.823091523999889,41,0
35,12,14,13,-9.08575577077983,42,0
36,16,8,13,-14.0273157683434,44,0
37,16,10,13,6.028003366246445,46,1
38,16,20,13,-5.377905060069541,47,0
39,16,34,13,-12.0624416515184,48,0
40,16,24,13,-7.2681667131386,49,0
41,16,29,13,13.0365994917337,50,1
42,16,14,13,-19.2109486554008,51,0
43,16,7,13,-18.2416792985406,52,0
44,17,5,13,-7.6531278906882205,53,0
45,17,19,13,-54.229684271581405,54,0
46,17,8,13,-50.932830106670096,55,0
47,17,12,13,-52.9105124455236,56,0
