,drug_row,drug_col,DepMap_ID,synergy_loewe,drug_pair
0,33,26,16,-3.57063193171476,332
1,26,27,3,-5.43581244049727,485
2,32,11,13,-15.3650930087792,92
3,16,12,1,-9.92626174630979,45
4,34,15,33,12.1108220106255,385
5,26,10,10,-3.4345212483835104,234
6,27,21,24,4.19979926317138,517
7,15,14,16,-4.94313343971552,298
8,12,30,6,1.7354032612567698,353
9,32,7,7,-6.33093771804179,98
10,27,4,16,5.121615806180465,123
11,23,12,30,9.10219773064706,515
12,36,22,13,-7.348750518545585,259
13,12,27,14,-7.83846714555801,39
14,24,5,11,-16.1683631849119,198
15,36,28,3,7.53185155768438,256
16,17,25,31,-49.31530372705871,62
17,16,7,12,-14.7135826166046,52
18,15,12,27,-3.669640855585365,294
19,36,15,24,5.97440999923864,264
20,12,10,7,-20.04601639630615,37
21,22,5,15,-49.4159978468277,390
22,13,19,12,2.76220628112642,568
23,18,14,12,-3.3306565665810552,466
24,28,15,3,8.94920073122002,136
25,31,5,3,-67.40753204094099,318
26,24,4,24,8.64124098422298,401
27,36,20,4,-6.38657991555184,252
28,15,25,22,4.80134939941496,432
29,36,3,22,-20.5884807103805,263
30,23,5,20,-17.196225207064998,99
31,18,29,17,-16.3654149919545,82
32,3,30,13,4.57593277367898,285
33,13,11,20,-30.823662799283905,496
34,16,14,8,-18.2030109148395,51
35,15,24,27,14.7872564737084,295
36,35,1,25,-14.1164126072029,217
37,2,29,33,10.7711737714921,193
38,15,7,15,-32.4451624625691,299
39,34,24,16,12.6994002185969,146
40,2,6,29,2.09677210306563,197
41,9,24,5,-10.4754801955501,181
42,36,27,32,-11.3511367680623,255
43,23,4,33,12.0161092709297,372
44,9,14,7,-4.68335558659113,183
45,35,12,9,-29.6025224769946,211
46,19,14,27,9.664258192124215,30
47,16,27,27,-6.992069544409871,356
48,7,24,1,-37.22303541526431,309
49,6,15,33,-5.43343588480293,346
50,22,27,1,-38.4653922792767,165
51,34,29,33,4.756866315219121,148
