Epoch 1/500: Train: MSE=3.0775, |Valid: MSE=217.4462, PCC=0.0330
Epoch 2/500: Train: MSE=3.0685, |Valid: MSE=217.0280, PCC=0.0072
Epoch 3/500: Train: MSE=3.0697, |Valid: MSE=219.0322, PCC=0.0055
Epoch 4/500: Train: MSE=3.0691, |Valid: MSE=217.2903, PCC=0.0073
Epoch 5/500: Train: MSE=3.0730, |Valid: MSE=217.6705, PCC=-0.0100
Epoch 6/500: Train: MSE=3.0649, |Valid: MSE=216.5009, PCC=0.0351
Epoch 7/500: Train: MSE=3.0695, |Valid: MSE=217.9520, PCC=-0.0009
Epoch 8/500: Train: MSE=3.0659, |Valid: MSE=220.5611, PCC=0.0401
Epoch 9/500: Train: MSE=3.0719, |Valid: MSE=217.1972, PCC=0.0469
Epoch 10/500: Train: MSE=3.0658, |Valid: MSE=216.8353, PCC=-0.0115
Epoch 11/500: Train: MSE=3.0709, |Valid: MSE=217.0900, PCC=-0.0524
Epoch 12/500: Train: MSE=3.0626, |Valid: MSE=217.0754, PCC=-0.0388
Epoch 13/500: Train: MSE=3.0714, |Valid: MSE=216.6196, PCC=0.0469
Epoch 14/500: Train: MSE=3.0644, |Valid: MSE=217.8027, PCC=-0.0317
Epoch 15/500: Train: MSE=3.0594, |Valid: MSE=216.6593, PCC=0.0050
Epoch 16/500: Train: MSE=3.0728, |Valid: MSE=216.8604, PCC=0.0286
Epoch 17/500: Train: MSE=3.0708, |Valid: MSE=216.2251, PCC=-0.0080
Epoch 18/500: Train: MSE=3.0723, |Valid: MSE=215.8777, PCC=0.0208
Epoch 19/500: Train: MSE=3.0654, |Valid: MSE=215.6602, PCC=-0.0199
Epoch 20/500: Train: MSE=3.0658, |Valid: MSE=215.7960, PCC=0.0346
Epoch 21/500: Train: MSE=3.0678, |Valid: MSE=216.0813, PCC=0.0007
Epoch 22/500: Train: MSE=3.0655, |Valid: MSE=215.1201, PCC=0.0166
Epoch 23/500: Train: MSE=3.0602, |Valid: MSE=215.9290, PCC=0.0111
Epoch 24/500: Train: MSE=3.0718, |Valid: MSE=216.5530, PCC=0.0043
Epoch 25/500: Train: MSE=3.0674, |Valid: MSE=216.5817, PCC=0.0107
Epoch 26/500: Train: MSE=3.0669, |Valid: MSE=216.2244, PCC=0.0357
Epoch 27/500: Train: MSE=3.0667, |Valid: MSE=216.3273, PCC=0.0087
Epoch 28/500: Train: MSE=3.0707, |Valid: MSE=216.0842, PCC=-0.0493
Epoch 29/500: Train: MSE=3.0605, |Valid: MSE=215.7463, PCC=0.0582
Epoch 30/500: Train: MSE=3.0707, |Valid: MSE=216.2211, PCC=0.0696
Epoch 31/500: Train: MSE=3.0641, |Valid: MSE=216.9958, PCC=0.0406
Epoch 32/500: Train: MSE=3.0695, |Valid: MSE=217.1520, PCC=0.0427
Epoch 33/500: Train: MSE=3.0643, |Valid: MSE=215.6468, PCC=0.0335
Epoch 34/500: Train: MSE=3.0694, |Valid: MSE=215.8161, PCC=0.0149
Epoch 35/500: Train: MSE=3.0608, |Valid: MSE=216.4461, PCC=-0.0314
Epoch 36/500: Train: MSE=3.0588, |Valid: MSE=216.4816, PCC=0.0608
Epoch 37/500: Train: MSE=3.0706, |Valid: MSE=216.7625, PCC=0.0230
Epoch 38/500: Train: MSE=3.0668, |Valid: MSE=215.9660, PCC=0.0504
Epoch 39/500: Train: MSE=3.0675, |Valid: MSE=215.1351, PCC=0.0519
Epoch 40/500: Train: MSE=3.0658, |Valid: MSE=216.2396, PCC=-0.0462
Epoch 41/500: Train: MSE=3.0643, |Valid: MSE=216.2499, PCC=0.0114
Epoch 42/500: Train: MSE=3.0640, |Valid: MSE=216.3591, PCC=-0.0171
Epoch 43/500: Train: MSE=3.0631, |Valid: MSE=216.9821, PCC=0.0324
Epoch 44/500: Train: MSE=3.0628, |Valid: MSE=215.8493, PCC=-0.0631
Epoch 45/500: Train: MSE=3.0653, |Valid: MSE=216.2014, PCC=-0.0133
Epoch 46/500: Train: MSE=3.0628, |Valid: MSE=215.9949, PCC=0.0100
Epoch 47/500: Train: MSE=3.0631, |Valid: MSE=216.6667, PCC=0.0116
Epoch 48/500: Train: MSE=3.0673, |Valid: MSE=215.7847, PCC=0.0203
Epoch 49/500: Train: MSE=3.0690, |Valid: MSE=216.1036, PCC=-0.0078
Epoch 50/500: Train: MSE=3.0624, |Valid: MSE=216.7621, PCC=-0.0344
Epoch 51/500: Train: MSE=3.0715, |Valid: MSE=216.3023, PCC=-0.0380
Epoch 52/500: Train: MSE=3.0608, |Valid: MSE=216.5202, PCC=-0.0034
Epoch 53/500: Train: MSE=3.0729, |Valid: MSE=216.4494, PCC=0.0445
Epoch 54/500: Train: MSE=3.0683, |Valid: MSE=216.1541, PCC=-0.0205
Epoch 55/500: Train: MSE=3.0603, |Valid: MSE=216.3988, PCC=0.0241
Epoch 56/500: Train: MSE=3.0637, |Valid: MSE=216.4179, PCC=0.0380
Epoch 57/500: Train: MSE=3.0671, |Valid: MSE=215.8634, PCC=-0.0643
Epoch 58/500: Train: MSE=3.0732, |Valid: MSE=216.3327, PCC=-0.0009
Epoch 59/500: Train: MSE=3.0618, |Valid: MSE=216.5571, PCC=0.0451
Epoch 60/500: Train: MSE=3.0682, |Valid: MSE=216.2287, PCC=0.0359
Epoch 61/500: Train: MSE=3.0633, |Valid: MSE=215.9468, PCC=0.0243
Epoch 62/500: Train: MSE=3.0652, |Valid: MSE=216.2533, PCC=-0.0408
Epoch 63/500: Train: MSE=3.0597, |Valid: MSE=216.4389, PCC=0.0167
Epoch 64/500: Train: MSE=3.0676, |Valid: MSE=216.1150, PCC=-0.0260
Epoch 65/500: Train: MSE=3.0628, |Valid: MSE=216.1196, PCC=nan
Epoch 66/500: Train: MSE=3.0605, |Valid: MSE=216.9428, PCC=-0.0235
Epoch 67/500: Train: MSE=3.0676, |Valid: MSE=215.9984, PCC=0.0874
